id,uatu:date,smartbi:customer,smartbi:product_code,smartbi:product_name,smartbi:product_family,smartbi:sold_quant,smartbi:sold_price,smartbi:unit_cost,smartbi:product_category,smartbi:provider,smartbi:delivery_country,smartbi:delivery_address,smartbi:delivery_street,smartbi:delivery_city,smartbi:delivery_pc,smartbi:delivery_region
33,25/02/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,89,84.0,78.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
34,25/02/2020,Cliente W,A101,Prodotto 1,Famiglia A1,80,84.5,78.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
35,26/02/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,80,85.0,79.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
36,28/02/2020,Cliente W,A101,Prodotto 1,Famiglia A1,80,85.5,79.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
37,02/03/2020,Cliente W,A101,Prodotto 1,Famiglia A1,80,86.0,80.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
38,03/03/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,80,86.5,80.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
39,03/03/2020,Cliente X,A101,Prodotto 1,Famiglia A1,80,87.0,81.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
40,04/03/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,80,87.5,80.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
41,09/03/2020,Cliente W,A101,Prodotto 1,Famiglia A1,80,88.0,79.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
42,12/03/2020,Cliente X,A101,Prodotto 1,Famiglia A1,78,88.5,78.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
43,13/03/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,76,89.0,77.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
44,16/03/2020,Cliente W,A101,Prodotto 1,Famiglia A1,74,89.5,76.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
45,16/03/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,72,90.0,75.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
46,18/03/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,70,90.5,74.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
47,27/03/2020,Cliente X,A101,Prodotto 1,Famiglia A1,68,91.0,73.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
48,30/03/2020,Cliente W,A101,Prodotto 1,Famiglia A1,66,91.5,72.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
49,31/03/2020,Cliente X,A101,Prodotto 1,Famiglia A1,65,92.0,71.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
50,01/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,63,92.5,70.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vibo Valentia,Vibo Valentia,Calabria
51,01/04/2020,Cliente X,A101,Prodotto 1,Famiglia A1,61,93.0,69.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
52,06/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,50,93.5,68.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
53,08/04/2020,Cliente W,A101,Prodotto 1,Famiglia A1,50,94.0,67.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
54,09/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,50,94.5,66.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
55,09/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,50,95.0,65.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
56,20/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,50,95.5,64.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
57,20/04/2020,Cliente X,A101,Prodotto 1,Famiglia A1,50,96.0,63.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
58,20/04/2020,Cliente W,A101,Prodotto 1,Famiglia A1,45,96.5,62.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trapani,Trapani,Sicilia
59,21/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,43,97.0,61.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
60,23/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,35,97.5,60.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vibo Valentia,Vibo Valentia,Calabria
61,27/04/2020,Cliente W,A101,Prodotto 1,Famiglia A1,33,98.0,59.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
62,29/04/2020,Cliente X,A101,Prodotto 1,Famiglia A1,31,99.0,58.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
63,29/04/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,29,100.0,57.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
64,01/05/2020,Cliente X,A101,Prodotto 1,Famiglia A1,27,101.0,56.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
65,01/05/2020,Cliente W,A101,Prodotto 1,Famiglia A1,25,102.0,55.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
66,04/05/2020,Cliente W,A101,Prodotto 1,Famiglia A1,23,103.0,54.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
67,06/05/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,22,104.0,53.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
68,11/05/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,21,105.0,52.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vibo Valentia,Vibo Valentia,Calabria
69,12/05/2020,Cliente W,A101,Prodotto 1,Famiglia A1,20,106.0,80.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
70,13/05/2020,Cliente X,A101,Prodotto 1,Famiglia A1,19,107.0,80.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
71,15/05/2020,Cliente W,A101,Prodotto 1,Famiglia A1,18,108.0,81.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Savona,Savona,Liguria
72,18/05/2020,Cliente X,A101,Prodotto 1,Famiglia A1,17,109.0,81.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vicenza,Vicenza,Veneto
73,18/05/2020,Cliente W,A101,Prodotto 1,Famiglia A1,16,110.0,82.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
74,19/05/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,15,111.0,82.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vibo Valentia,Vibo Valentia,Calabria
75,19/05/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,14,112.0,83.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
76,20/05/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,13,113.0,83.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
77,20/05/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,12,114.0,84.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
78,27/05/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,11,115.0,84.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
79,28/05/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,10,116.0,85.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
80,01/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,9,117.0,85.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
81,03/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,8,118.0,86.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
82,08/06/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,7,116.0,86.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
83,09/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,6,114.0,87.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
84,09/06/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,59,112.0,87.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
85,09/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,61,110.0,88.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
86,10/06/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,63,108.0,88.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
87,11/06/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,65,106.0,89.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
88,11/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,67,104.0,89.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trento,Trento,Trentino-Alto Adige
89,11/06/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,69,102.0,90.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
90,17/06/2020,Cliente X,A101,Prodotto 1,Famiglia A1,71,100.0,90.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
91,17/06/2020,Cliente W,A101,Prodotto 1,Famiglia A1,73,98.0,91.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
92,24/06/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,75,96.0,91.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
93,25/06/2020,Cliente W,A101,Prodotto 1,Famiglia A1,77,94.0,92.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vicenza,Vicenza,Veneto
94,30/06/2020,Cliente W,A101,Prodotto 1,Famiglia A1,79,92.0,92.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trento,Trento,Trentino-Alto Adige
95,01/07/2020,Cliente W,A101,Prodotto 1,Famiglia A1,81,90.0,93.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
96,06/07/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,83,88.0,93.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
97,07/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,85,86.0,94.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
98,08/07/2020,Cliente W,A101,Prodotto 1,Famiglia A1,87,84.0,94.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
99,15/07/2020,Cliente W,A101,Prodotto 1,Famiglia A1,89,82.0,95.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
100,16/07/2020,Cliente W,A101,Prodotto 1,Famiglia A1,95,80.0,95.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
101,16/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,96,79.2,67.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Varese,Varese,Lombardia
102,20/07/2020,Cliente X,A101,Prodotto 1,Famiglia A1,97,79.0,67.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
103,20/07/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,98,78.4,67.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
104,20/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,99,78.2,66.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
105,21/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,100,78.0,66.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
106,23/07/2020,Cliente X,A101,Prodotto 1,Famiglia A1,101,78.2,66.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
107,24/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,102,78.0,66.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
108,24/07/2020,Cliente X,A101,Prodotto 1,Famiglia A1,103,77.4,66.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
109,27/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,104,77.2,66.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
110,29/07/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,105,77.0,65.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
111,31/07/2020,Cliente X,A101,Prodotto 1,Famiglia A1,106,77.2,65.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
112,31/07/2020,Cliente X,A101,Prodotto 1,Famiglia A1,107,77.0,65.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
113,07/08/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,108,76.4,65.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
114,10/08/2020,Cliente W,A101,Prodotto 1,Famiglia A1,109,76.2,65.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
115,14/08/2020,Cliente X,A101,Prodotto 1,Famiglia A1,110,76.0,65.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trento,Trento,Trentino-Alto Adige
116,17/08/2020,Cliente X,A101,Prodotto 1,Famiglia A1,111,76.2,64.4,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
117,20/08/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,112,76.0,64.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
118,24/08/2020,Cliente X,A101,Prodotto 1,Famiglia A1,113,75.4,64.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
119,24/08/2020,Cliente W,A101,Prodotto 1,Famiglia A1,114,75.2,64.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
120,24/08/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,115,75.0,64.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
121,25/08/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,116,75.2,64.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trapani,Trapani,Sicilia
122,27/08/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,117,75.0,63.4,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Savona,Savona,Liguria
123,27/08/2020,Cliente X,A101,Prodotto 1,Famiglia A1,118,74.4,63.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trapani,Trapani,Sicilia
124,02/09/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,119,74.2,63.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Salerno,Salerno,Campania
125,04/09/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,120,74.0,63.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Potenza,Potenza,Basilicata
126,04/09/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,105,74.0,63.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
127,07/09/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,105,74.0,63.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
128,07/09/2020,Cliente X,A101,Prodotto 1,Famiglia A1,105,74.0,63.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trapani,Trapani,Sicilia
129,08/09/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
130,09/09/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
131,11/09/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
132,11/09/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Teramo,Teramo,Abruzzo
133,15/09/2020,Cliente W,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Taranto,Taranto,Puglia
134,15/09/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
135,16/09/2020,Cliente W,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Isernia,Isernia,Molise
136,22/09/2020,Cliente X,A101,Prodotto 1,Famiglia A1,105,74.0,59.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Udine,Udine,Friuli Venezia Giulia
137,23/09/2020,Cliente X,A101,Prodotto 1,Famiglia A1,107,74.2,59.4,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trento,Trento,Trentino-Alto Adige
138,24/09/2020,Cliente X,A101,Prodotto 1,Famiglia A1,109,74.4,59.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Pesaro e Urbino,Pesaro e Urbino,Marche
139,02/10/2020,Cliente X,A101,Prodotto 1,Famiglia A1,111,75.0,60.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Aosta,Aosta,Valle d'Aosta
140,06/10/2020,Cliente W,A101,Prodotto 1,Famiglia A1,113,75.2,60.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Viterbo,Viterbo,Lazio
141,07/10/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,115,75.0,60.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Trapani,Trapani,Sicilia
142,07/10/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,117,75.2,60.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vicenza,Vicenza,Veneto
143,08/10/2020,Cliente X,A101,Prodotto 1,Famiglia A1,116,75.4,60.3,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Siena,Siena,Toscana
144,09/10/2020,Cliente W,A101,Prodotto 1,Famiglia A1,115,76.0,60.5,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Vercelli,Vercelli,Piemonte
145,12/10/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,114,76.2,61.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Sud Sardegna,Sud Sardegna,Sardegna
146,13/10/2020,Cliente Y,A101,Prodotto 1,Famiglia A1,113,76.0,61.2,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
147,13/10/2020,Cliente W,A101,Prodotto 1,Famiglia A1,112,76.2,61.0,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Terni,Terni,Umbria
148,13/10/2020,Cliente Z,A101,Prodotto 1,Famiglia A1,111,76.4,61.1,Categoria 1,Fornitore 1,Italia,Via Roma 1,99999,Rimini,Rimini,Emilia-Romagna
